               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076643,            0.044387,            0.061935,             0.41529,             0.34173,             0.34726,             0.17661,            0.050776,            0.023301,            0.036284,             0.07006,           0.0033267,           0.0033267
                   1,            0.054676,            0.038509,            0.032919,             0.53377,             0.53023,             0.52597,              0.2686,            0.051918,            0.022514,            0.020803,            0.039928,           0.0065282,           0.0065282
                   2,            0.053853,            0.038059,            0.024676,             0.56129,             0.54451,             0.54846,             0.27098,            0.054061,            0.023696,            0.017802,            0.009664,           0.0095976,           0.0095976
                   3,            0.050437,            0.039819,            0.023862,             0.52293,             0.52049,             0.52212,             0.26765,             0.04745,            0.026095,            0.019342,            0.009406,            0.009406,            0.009406
                   4,            0.048327,            0.041311,            0.023188,             0.60698,             0.54839,             0.56119,             0.29042,             0.04627,            0.026516,            0.018766,            0.009406,            0.009406,            0.009406
                   5,            0.047192,            0.040673,            0.022097,             0.59187,             0.53221,             0.55595,             0.27734,            0.046214,            0.026852,            0.018298,            0.009208,            0.009208,            0.009208
                   6,            0.046624,            0.041433,              0.0219,              0.5574,             0.52397,             0.53949,             0.27725,            0.046706,             0.02647,            0.016171,             0.00901,             0.00901,             0.00901
                   7,             0.04595,            0.039965,            0.020567,             0.63001,             0.54223,             0.57342,             0.30402,            0.045058,             0.02632,            0.016637,            0.008812,            0.008812,            0.008812
                   8,            0.044799,             0.03995,              0.0194,             0.63939,             0.52422,             0.56592,             0.30387,             0.04378,            0.026443,            0.017533,            0.008614,            0.008614,            0.008614
                   9,            0.044029,            0.040048,             0.01848,              0.5981,             0.56735,              0.5874,             0.32322,            0.043509,            0.026708,            0.016617,            0.008416,            0.008416,            0.008416
                  10,            0.043389,            0.039568,            0.017433,             0.60141,             0.55913,             0.58468,             0.31504,            0.044107,            0.026477,            0.016697,            0.008218,            0.008218,            0.008218
                  11,            0.043284,            0.039138,            0.017162,              0.6423,             0.56187,             0.59529,             0.32395,            0.043335,            0.026593,            0.017055,             0.00802,             0.00802,             0.00802
                  12,            0.042627,              0.0391,            0.016802,             0.65435,             0.57283,             0.61338,             0.33309,            0.043155,            0.025925,            0.015173,            0.007822,            0.007822,            0.007822
                  13,            0.042234,            0.038506,            0.015925,             0.63909,             0.56552,             0.59976,             0.33205,            0.042377,            0.026105,            0.015694,            0.007624,            0.007624,            0.007624
                  14,            0.042122,            0.038474,            0.015677,              0.6575,             0.57591,              0.6091,             0.34353,            0.042112,            0.026145,            0.015119,            0.007426,            0.007426,            0.007426
                  15,            0.040865,            0.037868,              0.0145,             0.68164,             0.56821,             0.62259,             0.35948,            0.041674,            0.026304,            0.015392,            0.007228,            0.007228,            0.007228
                  16,             0.04065,            0.038021,            0.014516,             0.66204,             0.57832,             0.61823,              0.3533,            0.041588,             0.02586,            0.015091,             0.00703,             0.00703,             0.00703
                  17,            0.040072,            0.037654,            0.014627,             0.66494,             0.59741,             0.62821,             0.35794,            0.041667,            0.026017,            0.015754,            0.006832,            0.006832,            0.006832
                  18,            0.039663,             0.03651,            0.013721,              0.6824,             0.56644,             0.62447,             0.35866,            0.041328,            0.025978,            0.014991,            0.006634,            0.006634,            0.006634
                  19,            0.039236,            0.037389,            0.013484,             0.68259,             0.59495,             0.64387,             0.37473,             0.04154,            0.025952,            0.014597,            0.006436,            0.006436,            0.006436
                  20,            0.038691,            0.035988,            0.013042,             0.67262,             0.59295,              0.6402,             0.36501,             0.04127,             0.02612,            0.013966,            0.006238,            0.006238,            0.006238
                  21,            0.038175,            0.036634,             0.01287,             0.67946,             0.58767,             0.63773,             0.36868,            0.040379,            0.026298,             0.01546,             0.00604,             0.00604,             0.00604
                  22,            0.038096,            0.036427,             0.01275,             0.69165,             0.61623,             0.66049,             0.39517,            0.040472,            0.026363,            0.013758,            0.005842,            0.005842,            0.005842
                  23,            0.037723,            0.035346,            0.011882,             0.70433,               0.621,             0.67307,             0.38817,            0.040418,            0.025483,            0.014782,            0.005644,            0.005644,            0.005644
                  24,            0.037314,            0.035401,            0.011509,              0.6996,             0.62045,             0.66438,              0.3932,            0.040045,            0.025792,            0.013308,            0.005446,            0.005446,            0.005446
                  25,            0.037101,            0.035287,            0.011202,             0.68661,             0.61946,             0.66329,             0.39503,            0.040087,            0.026041,            0.014082,            0.005248,            0.005248,            0.005248
                  26,            0.036515,            0.035247,            0.011119,             0.68917,             0.60956,             0.64991,              0.3881,            0.039786,            0.026041,             0.01421,             0.00505,             0.00505,             0.00505
